salary,emp_no,title
60117,10001,Senior Engineer
78228,10005,Senior Staff
78228,10005,Staff
55881,10018,Engineer
55881,10018,Senior Engineer
44276,10019,Staff
40000,10022,Engineer
47585,10026,Engineer
47585,10026,Senior Engineer
41538,10035,Engineer
41538,10035,Senior Engineer
48817,10051,Engineer
48817,10051,Senior Engineer
67854,10053,Senior Staff
52787,10058,Senior Staff
71218,10059,Senior Staff
40000,10063,Senior Engineer
44642,10067,Engineer
44642,10067,Senior Engineer
55999,10070,Technique Leader
40000,10072,Engineer
40000,10072,Senior Engineer
61714,10074,Technique Leader
47319,10076,Senior Engineer
40000,10091,Engineer
40000,10091,Senior Engineer
61395,10096,Engineer
54398,10100,Senior Staff
54398,10100,Staff
68158,10103,Engineer
40000,10126,Senior Staff
40000,10126,Staff
40000,10127,Senior Engineer
40000,10129,Technique Leader
53574,10138,Engineer
53574,10138,Senior Engineer
70122,10150,Engineer
70122,10150,Senior Engineer
54246,10153,Assistant Engineer
91622,10160,Senior Staff
91622,10160,Staff
40000,10183,Staff
64941,10194,Senior Staff
64941,10194,Staff
40000,10219,Senior Staff
40000,10224,Engineer
40000,10224,Senior Engineer
79474,10228,Senior Staff
79474,10228,Staff
47531,10230,Senior Staff
47531,10230,Staff
73874,10240,Engineer
58918,10248,Senior Staff
58918,10248,Staff
40000,10282,Assistant Engineer
40000,10282,Engineer
40000,10283,Engineer
40000,10283,Senior Engineer
40000,10284,Engineer
40000,10326,Staff
68132,10340,Senior Staff
68132,10340,Staff
42199,10347,Staff
47518,10349,Senior Staff
47518,10349,Staff
62656,10353,Senior Staff
51401,10364,Senior Engineer
63565,10367,Senior Staff
63565,10367,Staff
54505,10372,Technique Leader
61374,10387,Senior Staff
61374,10387,Staff
40393,10396,Senior Engineer
40529,10397,Technique Leader
40000,10402,Technique Leader
62565,10407,Senior Staff
52224,10418,Staff
40000,10432,Senior Staff
40000,10432,Staff
46275,10451,Assistant Engineer
46275,10451,Engineer
46275,10451,Senior Engineer
40000,10453,Senior Staff
40000,10453,Staff
71692,10486,Engineer
71692,10486,Senior Engineer
50094,10494,Engineer
50094,10494,Senior Engineer
63707,10497,Engineer
63707,10497,Senior Engineer
65330,10517,Senior Staff
47840,10529,Assistant Engineer
90631,10548,Senior Staff
90631,10548,Staff
46660,10564,Engineer
46660,10564,Senior Engineer
47541,10586,Engineer
47541,10586,Senior Engineer
40000,10614,Engineer
40000,10614,Senior Engineer
60268,10623,Engineer
60268,10623,Senior Engineer
40000,10624,Technique Leader
41650,10628,Assistant Engineer
41650,10628,Engineer
41650,10628,Senior Engineer
46291,10639,Engineer
46291,10639,Senior Engineer
40000,10653,Senior Engineer
58226,10676,Engineer
40000,10693,Senior Staff
40000,10693,Staff
68913,10696,Technique Leader
46581,10702,Senior Engineer
46315,10726,Engineer
46315,10726,Senior Engineer
50265,10741,Senior Staff
50265,10741,Staff
40000,10745,Engineer
40000,10745,Senior Engineer
60829,10749,Engineer
60829,10749,Senior Engineer
70720,10764,Engineer
70720,10764,Senior Engineer
40000,10791,Engineer
40000,10791,Senior Engineer
84206,10795,Senior Staff
84206,10795,Staff
47420,10830,Senior Staff
47420,10830,Staff
40000,10833,Technique Leader
53869,10834,Assistant Engineer
53869,10834,Engineer
40000,10835,Engineer
40000,10844,Engineer
40000,10847,Senior Staff
40000,10847,Staff
50475,10848,Engineer
50475,10848,Senior Engineer
66065,10849,Assistant Engineer
66065,10849,Engineer
40000,10854,Engineer
47847,10858,Engineer
47847,10858,Senior Engineer
65835,10873,Staff
65651,10879,Senior Engineer
80935,10909,Engineer
80935,10909,Senior Engineer
40000,10920,Senior Staff
40000,10920,Staff
51819,10927,Senior Staff
51819,10927,Staff
53785,10930,Engineer
53785,10930,Senior Engineer
42872,10944,Senior Engineer
43068,10947,Senior Staff
43068,10947,Staff
58253,10949,Senior Staff
58253,10949,Staff
40000,10956,Engineer
40000,10969,Senior Engineer
56005,10974,Senior Engineer
46108,10987,Engineer
54174,10988,Senior Engineer
46406,10989,Senior Staff
46406,10989,Staff
43564,10996,Senior Staff
43564,10996,Staff
75111,11009,Senior Staff
75111,11009,Staff
69387,11019,Engineer
69387,11019,Senior Engineer
62670,11021,Staff
40000,11027,Assistant Engineer
40000,11027,Engineer
40000,11027,Senior Engineer
71654,11031,Senior Staff
71654,11031,Staff
40000,11032,Staff
65697,11048,Senior Staff
40000,11051,Engineer
40000,11051,Senior Engineer
48411,11064,Assistant Engineer
48411,11064,Engineer
48411,11064,Senior Engineer
40000,11070,Engineer
40000,11070,Senior Engineer
76877,11075,Senior Engineer
65686,11081,Senior Staff
65686,11081,Staff
90972,11083,Senior Staff
90972,11083,Staff
52121,11084,Engineer
52121,11084,Senior Engineer
66437,11085,Senior Engineer
76253,11091,Engineer
78588,11092,Staff
40000,11098,Engineer
40000,11100,Senior Staff
40000,11100,Staff
49777,11111,Assistant Engineer
40000,11112,Staff
43172,11130,Senior Staff
72944,11168,Senior Staff
72944,11168,Staff
44531,11170,Senior Engineer
40000,11177,Senior Engineer
40000,11185,Senior Staff
40000,11185,Staff
40000,11192,Engineer
40000,11204,Technique Leader
49728,11207,Engineer
72668,11211,Senior Engineer
40000,11217,Senior Engineer
48214,11229,Engineer
48214,11229,Senior Engineer
43863,11232,Senior Staff
43863,11232,Staff
46070,11233,Engineer
46070,11233,Senior Engineer
69432,11251,Senior Staff
69432,11251,Staff
40000,11253,Engineer
40000,11253,Senior Engineer
40000,11258,Senior Staff
40000,11258,Staff
65990,11267,Senior Engineer
40000,11268,Engineer
40000,11268,Senior Engineer
40000,11292,Engineer
40000,11292,Senior Engineer
43768,11294,Assistant Engineer
43768,11294,Engineer
43768,11294,Senior Engineer
40000,11296,Engineer
40000,11296,Senior Engineer
40000,11319,Assistant Engineer
62458,11325,Engineer
43306,11343,Engineer
43306,11343,Senior Engineer
41524,11347,Engineer
41524,11347,Senior Engineer
46356,11349,Assistant Engineer
46356,11349,Engineer
56463,11365,Engineer
45912,11373,Senior Staff
45912,11373,Staff
40000,11393,Engineer
40000,11393,Senior Engineer
42907,11404,Technique Leader
71834,11406,Senior Staff
71834,11406,Staff
40000,11415,Engineer
52416,11421,Engineer
52416,11421,Senior Engineer
40000,11446,Engineer
40000,11446,Senior Engineer
61434,11449,Engineer
61434,11449,Senior Engineer
45712,11460,Engineer
45712,11460,Senior Engineer
44625,11469,Engineer
44625,11469,Senior Engineer
59016,11474,Engineer
56449,11476,Staff
78157,11479,Staff
70182,11515,Staff
60212,11527,Staff
44026,11528,Technique Leader
96023,11537,Senior Staff
46065,11554,Staff
86261,11567,Senior Staff
86261,11567,Staff
46194,11573,Engineer
46194,11573,Senior Engineer
50896,11575,Assistant Engineer
50896,11575,Engineer
46950,11581,Engineer
46950,11581,Senior Engineer
58444,11589,Engineer
58444,11589,Senior Engineer
68224,11595,Senior Staff
58575,11602,Senior Staff
58575,11602,Staff
46591,11615,Senior Staff
46591,11615,Staff
41900,11616,Assistant Engineer
41900,11616,Engineer
42001,11624,Engineer
42001,11624,Senior Engineer
52520,11640,Senior Engineer
53327,11641,Senior Engineer
55411,11646,Engineer
70380,11664,Senior Staff
40000,11673,Technique Leader
70403,11693,Senior Engineer
46092,11733,Engineer
46092,11733,Senior Engineer
40000,11735,Senior Staff
40000,11735,Staff
44127,11736,Senior Engineer
55951,11746,Senior Staff
55951,11746,Staff
59493,11756,Engineer
64875,11764,Engineer
64875,11764,Senior Engineer
40000,11765,Senior Staff
40000,11765,Staff
40000,11769,Senior Staff
40000,11769,Staff
40000,11770,Engineer
40000,11770,Senior Engineer
61295,11772,Engineer
40000,11779,Staff
67265,11801,Senior Staff
67265,11801,Staff
41256,11810,Senior Engineer
52695,11811,Senior Staff
52695,11811,Staff
50638,11817,Senior Staff
50638,11817,Staff
67396,11822,Staff
40000,11829,Assistant Engineer
40000,11836,Senior Staff
40000,11842,Senior Staff
40000,11842,Staff
53448,11846,Engineer
53448,11846,Senior Engineer
61941,11853,Senior Staff
61941,11853,Staff
94805,11857,Senior Staff
46011,11862,Engineer
46011,11862,Senior Engineer
48349,11868,Engineer
62968,11869,Engineer
67424,11871,Engineer
67424,11871,Senior Engineer
76541,11881,Senior Staff
76541,11881,Staff
53720,11888,Senior Staff
53720,11888,Staff
56198,11894,Senior Engineer
80049,11897,Senior Staff
80049,11897,Staff
58042,11915,Engineer
58042,11915,Senior Engineer
40000,11917,Engineer
73369,11931,Senior Staff
73369,11931,Staff
40000,11949,Technique Leader
40000,11951,Assistant Engineer
40000,11951,Engineer
40000,11951,Senior Engineer
57709,11965,Engineer
52908,11972,Senior Staff
58241,11980,Staff
40000,11983,Engineer
40000,11983,Senior Engineer
49761,11994,Senior Staff
49761,11994,Staff
40000,12007,Engineer
40000,12007,Senior Engineer
40000,12030,Staff
47805,12037,Senior Staff
47805,12037,Staff
64813,12040,Senior Staff
